Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
179520,3904794,Magic: The Gathering,Ultimate Masters,Platinum Emperion,,233,Mythic,Near Mint,Normal,19.77,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179520_in_200x200.jpg
179489,3904334,Magic: The Gathering,Ultimate Masters: Box Toppers,Noble Hierarch,,U18,Special,Near Mint,Foil,19.87,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/179489_in_200x200.jpg
519544,7463993,Magic: The Gathering,Universes Beyond: Doctor Who,Quantum Misalignment,,52,Rare,Near Mint,Normal,19.78,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/519544_in_200x200.jpg
524278,7504853,Magic: The Gathering,Universes Beyond: Jurassic World Collection,Dino DNA (Borderless),,20,Rare,Near Mint,Normal,16.49,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/524278_in_200x200.jpg
499967,7217149,Magic: The Gathering,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mithril Coat (Extended Art),,379,Rare,Near Mint,Normal,29.99,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/499967_in_200x200.jpg
487805,7024057,Magic: The Gathering,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,The One Ring,,246,Mythic,Lightly Played,Normal,96.49,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/487805_in_200x200.jpg
6883,338126,Magic: The Gathering,Urza's Saga,Gaea's Cradle,,321,Rare,Moderately Played,Normal,1251.17,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/6883_in_200x200.jpg
6928,20403,Magic: The Gathering,Urza's Saga,"Karn, Silver Golem",,298,Rare,Near Mint,Normal,17.86,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/6928_in_200x200.jpg
5889,19385,Magic: The Gathering,Visions,Natural Order,,,Rare,Near Mint,Normal,41.88,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/5889_in_200x200.jpg
6131,19627,Magic: The Gathering,Weatherlight,Winding Canyons,,,Rare,Near Mint,Normal,31.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/6131_in_200x200.jpg
